Ensembl	Gene	Description
ENSG00000188508	KRTDAP	"Keratinocyte differentiation associated protein"
ENSG00000135413	LACRT	Lacritin
ENSG00000159166	LAD1	"Ladinin 1"
ENSG00000089692	LAG3	"Lymphocyte activating 3"
ENSG00000167618	LAIR2	"Leukocyte associated immunoglobulin like receptor 2"
ENSG00000167531	LALBA	"Lactalbumin alpha"
ENSG00000101680	LAMA1	"Laminin subunit alpha 1"
ENSG00000196569	LAMA2	"Laminin subunit alpha 2"
ENSG00000053747	LAMA3	"Laminin subunit alpha 3"
ENSG00000112769	LAMA4	"Laminin subunit alpha 4"
ENSG00000130702	LAMA5	"Laminin subunit alpha 5"
ENSG00000091136	LAMB1	"Laminin subunit beta 1"
ENSG00000172037	LAMB2	"Laminin subunit beta 2"
ENSG00000196878	LAMB3	"Laminin subunit beta 3"
ENSG00000091128	LAMB4	"Laminin subunit beta 4"
ENSG00000135862	LAMC1	"Laminin subunit gamma 1"
ENSG00000058085	LAMC2	"Laminin subunit gamma 2"
ENSG00000050555	LAMC3	"Laminin subunit gamma 3"
ENSG00000129988	LBP	"Lipopolysaccharide binding protein"
ENSG00000213398	LCAT	"Lecithin-cholesterol acyltransferase"
ENSG00000160349	LCN1	"Lipocalin 1"
ENSG00000187922	LCN10	"Lipocalin 10"
ENSG00000184925	LCN12	"Lipocalin 12"
ENSG00000177984	LCN15	"Lipocalin 15"
ENSG00000148346	LCN2	"Lipocalin 2"
ENSG00000267206	LCN6	"Lipocalin 6"
ENSG00000204001	LCN8	"Lipocalin 8"
ENSG00000148386	LCN9	"Lipocalin 9"
ENSG00000187942	LDLRAD2	"Low density lipoprotein receptor class A domain containing 2"
ENSG00000164406	LEAP2	"Liver enriched antimicrobial peptide 2"
ENSG00000145826	LECT2	"Leukocyte cell derived chemotaxin 2"
ENSG00000243709	LEFTY1	"Left-right determination factor 1"
ENSG00000143768	LEFTY2	"Left-right determination factor 2"
ENSG00000174697	LEP	Leptin
ENSG00000116678	LEPR	"Leptin receptor"
ENSG00000100097	LGALS1	"Galectin 1"
ENSG00000131981	LGALS3	"Galectin 3"
ENSG00000108679	LGALS3BP	"Galectin 3 binding protein"
ENSG00000168961	LGALS9	"Galectin 9"
ENSG00000108231	LGI1	"Leucine rich glioma inactivated 1"
ENSG00000153012	LGI2	"Leucine rich repeat LGI family member 2"
ENSG00000168481	LGI3	"Leucine rich repeat LGI family member 3"
ENSG00000153902	LGI4	"Leucine rich repeat LGI family member 4"
ENSG00000104826	LHB	"Luteinizing hormone beta polypeptide"
ENSG00000128342	LIF	"LIF, interleukin 6 family cytokine"
ENSG00000239998	LILRA2	"Leukocyte immunoglobulin like receptor A2"
ENSG00000187116	LILRA5	"Leukocyte immunoglobulin like receptor A5"
ENSG00000166035	LIPC	"Lipase C, hepatic type"
ENSG00000182333	LIPF	"Lipase F, gastric type"
ENSG00000101670	LIPG	"Lipase G, endothelial type"
ENSG00000163898	LIPH	"Lipase H"
ENSG00000188992	LIPI	"Lipase I"
ENSG00000204021	LIPK	"Lipase family member K"
ENSG00000173239	LIPM	"Lipase family member M"
ENSG00000204020	LIPN	"Lipase family member N"
ENSG00000113083	LOX	"Lysyl oxidase"
ENSG00000129038	LOXL1	"Lysyl oxidase like 1"
ENSG00000134013	LOXL2	"Lysyl oxidase like 2"
ENSG00000115318	LOXL3	"Lysyl oxidase like 3"
ENSG00000138131	LOXL4	"Lysyl oxidase like 4"
ENSG00000198670	LPA	Lipoprotein(a)
ENSG00000175445	LPL	"Lipoprotein lipase"
ENSG00000167419	LPO	Lactoperoxidase
ENSG00000186001	LRCH3	"Leucine rich repeats and calponin homology domain containing 3"
ENSG00000204583	LRCOL1	"Leucine rich colipase like 1"
ENSG00000171236	LRG1	"Leucine rich alpha-2-glycoprotein 1"
ENSG00000157193	LRP8	"LDL receptor related protein 8"
ENSG00000128606	LRRC17	"Leucine rich repeat containing 17"
ENSG00000226979	LTA	"Lymphotoxin alpha"
ENSG00000049323	LTBP1	"Latent transforming growth factor beta binding protein 1"
ENSG00000119681	LTBP2	"Latent transforming growth factor beta binding protein 2"
ENSG00000168056	LTBP3	"Latent transforming growth factor beta binding protein 3"
ENSG00000090006	LTBP4	"Latent transforming growth factor beta binding protein 4"
ENSG00000012223	LTF	Lactotransferrin
ENSG00000139329	LUM	Lumican
ENSG00000187398	LUZP2	"Leucine zipper protein 2"
ENSG00000240053	LY6G5B	"Lymphocyte antigen 6 family member G5B"
ENSG00000204428	LY6G5C	"Lymphocyte antigen 6 family member G5C"
ENSG00000160886	LY6K	"Lymphocyte antigen 6 family member K"
ENSG00000112799	LY86	"Lymphocyte antigen 86"
ENSG00000154589	LY96	"Lymphocyte antigen 96"
ENSG00000144214	LYG1	"Lysozyme g1"
ENSG00000185674	LYG2	"Lysozyme g2"
ENSG00000187123	LYPD6	"LY6/PLAUR domain containing 6"
ENSG00000259823	LYPD8	"LY6/PLAUR domain containing 8"
ENSG00000090382	LYZ	Lysozyme
ENSG00000120563	LYZL1	"Lysozyme like 1"
ENSG00000151033	LYZL2	"Lysozyme like 2"
ENSG00000157093	LYZL4	"Lysozyme like 4"
ENSG00000275722	LYZL6	"Lysozyme like 6"
ENSG00000165072	MAMDC2	"MAM domain containing 2"
ENSG00000013288	MAN2B2	"Mannosidase alpha class 2B member 2"
ENSG00000145050	MANF	"Mesencephalic astrocyte derived neurotrophic factor"
ENSG00000127241	MASP1	"Mannan binding lectin serine peptidase 1"
ENSG00000009724	MASP2	"Mannan binding lectin serine peptidase 2"
ENSG00000162510	MATN1	"Matrilin 1, cartilage matrix protein"
ENSG00000132561	MATN2	"Matrilin 2"
ENSG00000132031	MATN3	"Matrilin 3"
ENSG00000124159	MATN4	"Matrilin 4"
ENSG00000165471	MBL2	"Mannose binding lectin 2"
ENSG00000110492	MDK	Midkine
ENSG00000162591	MEGF6	"Multiple EGF like domains 6"
ENSG00000167077	MEI1	"Meiotic double-stranded break formation protein 1"
ENSG00000141434	MEP1B	"Meprin A subunit beta"
ENSG00000152595	MEPE	"Matrix extracellular phosphoglycoprotein"
ENSG00000105976	MET	"MET proto-oncogene, receptor tyrosine kinase"
ENSG00000103260	METRN	"Meteorin, glial cell differentiation regulator"
ENSG00000176845	METRNL	"Meteorin like, glial cell differentiation regulator"
ENSG00000053328	METTL24	"Methyltransferase like 24"
ENSG00000197006	METTL9	"Methyltransferase like 9"
ENSG00000117122	MFAP2	"Microfibril associated protein 2"
ENSG00000166482	MFAP4	"Microfibril associated protein 4"
ENSG00000197614	MFAP5	"Microfibril associated protein 5"
ENSG00000140545	MFGE8	"Milk fat globule-EGF factor 8 protein"
ENSG00000071073	MGAT4A	"Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"
ENSG00000111341	MGP	"Matrix Gla protein"
ENSG00000261857	MIA	"Melanoma inhibitory activity"
ENSG00000240972	MIF	"Macrophage migration inhibitory factor"
ENSG00000096395	MLN	Motilin
ENSG00000196611	MMP1	"Matrix metallopeptidase 1"
ENSG00000166670	MMP10	"Matrix metallopeptidase 10"
ENSG00000099953	MMP11	"Matrix metallopeptidase 11"
ENSG00000262406	MMP12	"Matrix metallopeptidase 12"
ENSG00000137745	MMP13	"Matrix metallopeptidase 13"
ENSG00000156103	MMP16	"Matrix metallopeptidase 16"
ENSG00000198598	MMP17	"Matrix metallopeptidase 17"
ENSG00000123342	MMP19	"Matrix metallopeptidase 19"
ENSG00000087245	MMP2	"Matrix metallopeptidase 2"
ENSG00000137674	MMP20	"Matrix metallopeptidase 20"
ENSG00000154485	MMP21	"Matrix metallopeptidase 21"
ENSG00000125966	MMP24	"Matrix metallopeptidase 24"
ENSG00000008516	MMP25	"Matrix metallopeptidase 25"
ENSG00000167346	MMP26	"Matrix metallopeptidase 26"
ENSG00000271447	MMP28	"Matrix metallopeptidase 28"
ENSG00000149968	MMP3	"Matrix metallopeptidase 3"
ENSG00000137673	MMP7	"Matrix metallopeptidase 7"
ENSG00000118113	MMP8	"Matrix metallopeptidase 8"
ENSG00000100985	MMP9	"Matrix metallopeptidase 9"
ENSG00000138722	MMRN1	"Multimerin 1"
ENSG00000173269	MMRN2	"Multimerin 2"
ENSG00000263639	MSMB	"Microseminoprotein beta"
ENSG00000215183	MSMP	"Microseminoprotein, prostate associated"
ENSG00000173531	MST1	"Macrophage stimulating 1"
ENSG00000138379	MSTN	Myostatin
ENSG00000256618	MTRNR2L1	"MT-RNR2-like 1"
ENSG00000256045	MTRNR2L10	"MT-RNR2-like 10"
ENSG00000270188	MTRNR2L11	"MT-RNR2-like 11"
ENSG00000269028	MTRNR2L12	"MT-RNR2-like 12"
ENSG00000270394	MTRNR2L13	"MT-RNR2-like 13"
ENSG00000256222	MTRNR2L3	"MT-RNR2-like 3"
ENSG00000232196	MTRNR2L4	"MT-RNR2-like 4"
ENSG00000249860	MTRNR2L5	"MT-RNR2-like 5"
ENSG00000270672	MTRNR2L6	"MT-RNR2-like 6"
ENSG00000256892	MTRNR2L7	"MT-RNR2-like 7"
ENSG00000255823	MTRNR2L8	"MT-RNR2-like 8"
ENSG00000185499	MUC1	"Mucin 1, cell surface associated"
ENSG00000173702	MUC13	"Mucin 13, cell surface associated"
ENSG00000181143	MUC16	"Mucin 16, cell surface associated"
ENSG00000176945	MUC20	"Mucin 20, cell surface associated"
ENSG00000145113	MUC4	"Mucin 4, cell surface associated"
ENSG00000215182	MUC5AC	"Mucin 5AC, oligomeric mucus/gel-forming"
ENSG00000117983	MUC5B	"Mucin 5B, oligomeric mucus/gel-forming"
ENSG00000184956	MUC6	"Mucin 6, oligomeric mucus/gel-forming"
ENSG00000171195	MUC7	"Mucin 7, secreted"
ENSG00000172551	MUCL1	"Mucin like 1"
ENSG00000101825	MXRA5	"Matrix remodeling associated 5"
ENSG00000182534	MXRA7	"Matrix remodeling associated 7"
ENSG00000074842	MYDGF	"Myeloid derived growth factor"
ENSG00000034971	MYOC	Myocilin
ENSG00000170476	MZB1	"Marginal zone B and B1 cell specific protein"
ENSG00000105835	NAMPT	"Nicotinamide phosphoribosyltransferase"
ENSG00000131400	NAPSA	"Napsin A aspartic peptidase"
ENSG00000163382	NAXE	"NAD(P)HX epimerase"
ENSG00000158747	NBL1	"Neuroblastoma 1, DAN family BMP antagonist"
ENSG00000130287	NCAN	Neurocan
ENSG00000173376	NDNF	"Neuron derived neurotrophic factor"
ENSG00000124479	NDP	"NDP, norrin cystine knot growth factor"
ENSG00000110400	NECTIN1	"Nectin cell adhesion molecule 1"
ENSG00000143217	NECTIN4	"Nectin cell adhesion molecule 4"
ENSG00000165973	NELL1	"Neural EGFL like 1"
ENSG00000184613	NELL2	"Neural EGFL like 2"
ENSG00000117691	NENF	"Neudesin neurotrophic factor"
ENSG00000134259	NGF	"Nerve growth factor"
ENSG00000188811	NHLRC3	"NHL repeat containing 3"
ENSG00000116962	NID1	"Nidogen 1"
ENSG00000087303	NID2	"Nidogen 2"
ENSG00000197696	NMB	"Neuromedin B"
ENSG00000204640	NMS	"Neuromedin S"
ENSG00000109255	NMU	"Neuromedin U"
ENSG00000156574	NODAL	"Nodal growth differentiation factor"
ENSG00000183691	NOG	Noggin
ENSG00000264343	NOTCH2NL	"Notch 2 N-terminal like"
ENSG00000185269	NOTUM	"Notum, palmitoleoyl-protein carboxylesterase"
ENSG00000136999	NOV	"Nephroblastoma overexpressed"
ENSG00000183979	NPB	"Neuropeptide B"
ENSG00000119655	NPC2	"NPC intracellular cholesterol transporter 2"
ENSG00000139574	NPFF	"Neuropeptide FF-amide peptide precursor"
ENSG00000168743	NPNT	Nephronectin
ENSG00000175206	NPPA	"Natriuretic peptide A"
ENSG00000120937	NPPB	"Natriuretic peptide B"
ENSG00000163273	NPPC	"Natriuretic peptide C"
ENSG00000214285	NPS	"Neuropeptide S"
ENSG00000171246	NPTX1	"Neuronal pentraxin 1"
ENSG00000106236	NPTX2	"Neuronal pentraxin 2"
ENSG00000105954	NPVF	"Neuropeptide VF precursor"
ENSG00000183971	NPW	"Neuropeptide W"
ENSG00000122585	NPY	"Neuropeptide Y"
ENSG00000157168	NRG1	"Neuregulin 1"
ENSG00000158458	NRG2	"Neuregulin 2"
ENSG00000185737	NRG3	"Neuregulin 3"
ENSG00000169752	NRG4	"Neuregulin 4"
ENSG00000188038	NRN1L	"Neuritin 1 like"
ENSG00000099250	NRP1	"Neuropilin 1"
ENSG00000118257	NRP2	"Neuropilin 2"
ENSG00000171119	NRTN	Neurturin
ENSG00000111696	NT5DC3	"5'-nucleotidase domain containing 3"
ENSG00000185652	NTF3	"Neurotrophin 3"
ENSG00000225950	NTF4	"Neurotrophin 4"
ENSG00000065320	NTN1	"Netrin 1"
ENSG00000162068	NTN3	"Netrin 3"
ENSG00000074527	NTN4	"Netrin 4"
ENSG00000142233	NTN5	"Netrin 5"
ENSG00000133636	NTS	Neurotensin
ENSG00000104805	NUCB1	"Nucleobindin 1"
ENSG00000070081	NUCB2	"Nucleobindin 2"
ENSG00000144815	NXPE3	"Neurexophilin and PC-esterase domain family member 3"
ENSG00000137634	NXPE4	"Neurexophilin and PC-esterase domain family member 4"
ENSG00000122584	NXPH1	"Neurexophilin 1"
ENSG00000144227	NXPH2	"Neurexophilin 2"
ENSG00000182575	NXPH3	"Neurexophilin 3"
ENSG00000182379	NXPH4	"Neurexophilin 4"
ENSG00000184232	OAF	"Out at first homolog"
ENSG00000122136	OBP2A	"Odorant binding protein 2A"
ENSG00000171102	OBP2B	"Odorant binding protein 2B"
ENSG00000253117	OC90	"Otoconin 90"
ENSG00000174792	ODAPH	"Odontogenesis associated phosphoprotein"
ENSG00000106809	OGN	Osteoglycin
ENSG00000138315	OIT3	"Oncoprotein induced transcript 3"
ENSG00000130558	OLFM1	"Olfactomedin 1"
ENSG00000105088	OLFM2	"Olfactomedin 2"
ENSG00000118733	OLFM3	"Olfactomedin 3"
ENSG00000102837	OLFM4	"Olfactomedin 4"
ENSG00000183801	OLFML1	"Olfactomedin like 1"
ENSG00000185585	OLFML2A	"Olfactomedin like 2A"
ENSG00000162745	OLFML2B	"Olfactomedin like 2B"
ENSG00000116774	OLFML3	"Olfactomedin like 3"
ENSG00000127083	OMD	Osteomodulin
ENSG00000149507	OOSP2	"Oocyte secreted protein 2"
ENSG00000171199	OPRPN	"Opiorphin prepropeptide"
ENSG00000188770	OPTC	Opticin
ENSG00000229314	ORM1	"Orosomucoid 1"
ENSG00000228278	ORM2	"Orosomucoid 2"
ENSG00000099985	OSM	"Oncostatin M"
ENSG00000188729	OSTN	Osteocrin
ENSG00000155719	OTOA	Otoancorin
ENSG00000188162	OTOG	Otogelin
ENSG00000182447	OTOL1	"Otolin 1"
ENSG00000125879	OTOR	Otoraplin
ENSG00000178602	OTOS	Otospiralin
ENSG00000187950	OVCH1	"Ovochymase 1"
ENSG00000183378	OVCH2	"Ovochymase 2 (gene/pseudogene)"
ENSG00000101405	OXT	"Oxytocin/neurophysin I prepropeptide"
ENSG00000185624	P4HB	"Prolyl 4-hydroxylase subunit beta"
ENSG00000122133	PAEP	"Progestagen associated endometrial protein"
ENSG00000145730	PAM	"Peptidylglycine alpha-amidating monooxygenase"
ENSG00000149090	PAMR1	"Peptidase domain containing associated with muscle regeneration 1"
ENSG00000100767	PAPLN	"Papilin, proteoglycan like sulfated glycoprotein"
ENSG00000182752	PAPPA	"Pappalysin 1"
ENSG00000116183	PAPPA2	"Pappalysin 2"
ENSG00000171053	PATE1	"Prostate and testis expressed 1"
ENSG00000196844	PATE2	"Prostate and testis expressed 2"
ENSG00000236027	PATE3	"Prostate and testis expressed 3"
ENSG00000237353	PATE4	"Prostate and testis expressed 4"
ENSG00000113555	PCDH12	"Protocadherin 12"
ENSG00000204970	PCDHA1	"Protocadherin alpha 1"
ENSG00000250120	PCDHA10	"Protocadherin alpha 10"
ENSG00000106333	PCOLCE	"Procollagen C-endopeptidase enhancer"
ENSG00000163710	PCOLCE2	"Procollagen C-endopeptidase enhancer 2"
ENSG00000175426	PCSK1	"Proprotein convertase subtilisin/kexin type 1"
ENSG00000102109	PCSK1N	"Proprotein convertase subtilisin/kexin type 1 inhibitor"
ENSG00000125851	PCSK2	"Proprotein convertase subtilisin/kexin type 2"
ENSG00000099139	PCSK5	"Proprotein convertase subtilisin/kexin type 5"
ENSG00000140479	PCSK6	"Proprotein convertase subtilisin/kexin type 6"
ENSG00000169174	PCSK9	"Proprotein convertase subtilisin/kexin type 9"
ENSG00000145882	PCYOX1L	"Prenylcysteine oxidase 1 like"
ENSG00000197646	PDCD1LG2	"Programmed cell death 1 ligand 2"
ENSG00000197461	PDGFA	"Platelet derived growth factor subunit A"
ENSG00000100311	PDGFB	"Platelet derived growth factor subunit B"
ENSG00000145431	PDGFC	"Platelet derived growth factor C"
ENSG00000170962	PDGFD	"Platelet derived growth factor D"
ENSG00000104213	PDGFRL	"Platelet derived growth factor receptor like"
ENSG00000101327	PDYN	Prodynorphin
ENSG00000134020	PEBP4	"Phosphatidylethanolamine binding protein 4"
ENSG00000181195	PENK	Proenkephalin
ENSG00000163737	PF4	"Platelet factor 4"
ENSG00000109272	PF4V1	"Platelet factor 4 variant 1"
ENSG00000229859	PGA3	"Pepsinogen 3, group I (pepsinogen A)"
ENSG00000229183	PGA4	"Pepsinogen 4, group I (pepsinogen A)"
ENSG00000256713	PGA5	"Pepsinogen 5, group I (pepsinogen A)"
ENSG00000096088	PGC	Progastricsin
ENSG00000119630	PGF	"Placental growth factor"
ENSG00000008438	PGLYRP1	"Peptidoglycan recognition protein 1"
ENSG00000161031	PGLYRP2	"Peptidoglycan recognition protein 2"
ENSG00000159527	PGLYRP3	"Peptidoglycan recognition protein 3"
ENSG00000163218	PGLYRP4	"Peptidoglycan recognition protein 4"
ENSG00000137558	PI15	"Peptidase inhibitor 15"
ENSG00000164530	PI16	"Peptidase inhibitor 16"
ENSG00000124102	PI3	"Peptidase inhibitor 3"
ENSG00000083535	PIBF1	"Progesterone immunomodulatory binding factor 1"
ENSG00000085514	PILRA	"Paired immunoglobin like type 2 receptor alpha"
ENSG00000234465	PINLYP	"Phospholipase A2 inhibitor and LY6/PLAUR domain containing"
ENSG00000159763	PIP	"Prolactin induced protein"
ENSG00000162878	PKDCC	"Protein kinase domain containing, cytoplasmic"
ENSG00000144837	PLA1A	"Phospholipase A1 member A"
ENSG00000069764	PLA2G10	"Phospholipase A2 group X"
ENSG00000123739	PLA2G12A	"Phospholipase A2 group XIIA"
ENSG00000138308	PLA2G12B	"Phospholipase A2 group XIIB"
ENSG00000170890	PLA2G1B	"Phospholipase A2 group IB"
ENSG00000188257	PLA2G2A	"Phospholipase A2 group IIA"
ENSG00000187980	PLA2G2C	"Phospholipase A2 group IIC"
ENSG00000117215	PLA2G2D	"Phospholipase A2 group IID"
ENSG00000188784	PLA2G2E	"Phospholipase A2 group IIE"
ENSG00000100078	PLA2G3	"Phospholipase A2 group III"
ENSG00000127472	PLA2G5	"Phospholipase A2 group V"
ENSG00000146070	PLA2G7	"Phospholipase A2 group VII"
ENSG00000153246	PLA2R1	"Phospholipase A2 receptor 1"
ENSG00000170965	PLAC1	"Placenta specific 1"
ENSG00000189129	PLAC9	"Placenta specific 9"
ENSG00000104368	PLAT	"Plasminogen activator, tissue type"
ENSG00000122861	PLAU	"Plasminogen activator, urokinase"
ENSG00000122194	PLG	Plasminogen
ENSG00000183281	PLGLB1	"Plasminogen-like B1"
ENSG00000125551	PLGLB2	"Plasminogen-like B2"
ENSG00000106397	PLOD3	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
ENSG00000100979	PLTP	"Phospholipid transfer protein"
ENSG00000162877	PM20D1	"Peptidase M20 domain containing 1"
ENSG00000183395	PMCH	"Pro-melanin concentrating hormone"
ENSG00000175535	PNLIP	"Pancreatic lipase"
ENSG00000187021	PNLIPRP1	"Pancreatic lipase related protein 1"
ENSG00000203837	PNLIPRP3	"Pancreatic lipase related protein 3"
ENSG00000168081	PNOC	Prepronociceptin
ENSG00000174348	PODN	Podocan
ENSG00000132000	PODNL1	"Podocan like 1"
ENSG00000115138	POMC	Proopiomelanocortin
ENSG00000005421	PON1	"Paraoxonase 1"
ENSG00000105854	PON2	"Paraoxonase 2"
ENSG00000105852	PON3	"Paraoxonase 3"
ENSG00000133110	POSTN	Periostin
ENSG00000163736	PPBP	"Pro-platelet basic protein"
ENSG00000196262	PPIA	"Peptidylprolyl isomerase A"
ENSG00000166794	PPIB	"Peptidylprolyl isomerase B"
ENSG00000108849	PPY	"Pancreatic polypeptide"
ENSG00000135617	PRADC1	"Protease associated domain containing 1"
ENSG00000165828	PRAP1	"Proline rich acidic protein 1"
ENSG00000251655	PRB1	"Proline rich protein BstNI subfamily 1"
ENSG00000121335	PRB2	"Proline rich protein BstNI subfamily 2"
ENSG00000197870	PRB3	"Proline rich protein BstNI subfamily 3"
ENSG00000230657	PRB4	"Proline rich protein BstNI subfamily 4"
ENSG00000188783	PRELP	"Proline and arginine rich end leucine rich repeat protein"
ENSG00000156575	PRG3	"Proteoglycan 3, pro eosinophil major basic protein 2"
ENSG00000116690	PRG4	"Proteoglycan 4"
ENSG00000134551	PRH2	"Proline rich protein HaeIII subfamily 2"
ENSG00000172179	PRL	Prolactin
ENSG00000071677	PRLH	"Prolactin releasing hormone"
ENSG00000115718	PROC	"Protein C, inactivator of coagulation factors Va and VIIIa"
ENSG00000143125	PROK1	"Prokineticin 1"
ENSG00000163421	PROK2	"Prokineticin 2"
ENSG00000184500	PROS1	"Protein S"
ENSG00000126231	PROZ	"Protein Z, vitamin K dependent plasma glycoprotein"
ENSG00000187533	PRR27	"Proline rich 27"
ENSG00000111215	PRR4	"Proline rich 4 (lacrimal)"
ENSG00000204983	PRSS1	"Serine protease 1"
ENSG00000164099	PRSS12	"Serine protease 12"
ENSG00000112812	PRSS16	"Serine protease 16"
ENSG00000275896	PRSS2	"Serine protease 2"
ENSG00000005001	PRSS22	"Serine protease 22"
ENSG00000150687	PRSS23	"Serine protease 23"
ENSG00000172382	PRSS27	"Serine protease 27"
ENSG00000010438	PRSS3	"Serine protease 3"
ENSG00000103355	PRSS33	"Serine protease 33"
ENSG00000146250	PRSS35	"Serine protease 35"
ENSG00000178226	PRSS36	"Serine protease 36"
ENSG00000165076	PRSS37	"Serine protease 37"
ENSG00000185888	PRSS38	"Serine protease 38"
ENSG00000178055	PRSS42	"Serine protease 42"
ENSG00000189099	PRSS48	"Serine protease 48"
ENSG00000253649	PRSS51	"Serine protease 51"
ENSG00000151006	PRSS53	"Serine protease 53"
ENSG00000103023	PRSS54	"Serine protease 54"
ENSG00000185198	PRSS57	"Serine protease 57"
ENSG00000258223	PRSS58	"Serine protease 58"
ENSG00000052344	PRSS8	"Serine protease 8"
ENSG00000196415	PRTN3	"Proteinase 3"
ENSG00000178597	PSAPL1	"Prosaposin like 1 (gene/pseudogene)"
ENSG00000231924	PSG1	"Pregnancy specific beta-1-glycoprotein 1"
ENSG00000243130	PSG11	"Pregnancy specific beta-1-glycoprotein 11"
ENSG00000242221	PSG2	"Pregnancy specific beta-1-glycoprotein 2"
ENSG00000221826	PSG3	"Pregnancy specific beta-1-glycoprotein 3"
ENSG00000243137	PSG4	"Pregnancy specific beta-1-glycoprotein 4"
ENSG00000204941	PSG5	"Pregnancy specific beta-1-glycoprotein 5"
ENSG00000170848	PSG6	"Pregnancy specific beta-1-glycoprotein 6"
ENSG00000221878	PSG7	"Pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)"
ENSG00000124467	PSG8	"Pregnancy specific beta-1-glycoprotein 8"
ENSG00000183668	PSG9	"Pregnancy specific beta-1-glycoprotein 9"
ENSG00000204538	PSORS1C2	"Psoriasis susceptibility 1 candidate 2"
ENSG00000125650	PSPN	Persephin
ENSG00000171862	PTEN	"Phosphatase and tensin homolog"
ENSG00000107317	PTGDS	"Prostaglandin D2 synthase"
ENSG00000152266	PTH	"Parathyroid hormone"
ENSG00000142538	PTH2	"Parathyroid hormone 2"
ENSG00000087494	PTHLH	"Parathyroid hormone like hormone"
ENSG00000112655	PTK7	"Protein tyrosine kinase 7 (inactive)"
ENSG00000105894	PTN	Pleiotrophin
ENSG00000105426	PTPRS	"Protein tyrosine phosphatase, receptor type S"
ENSG00000106278	PTPRZ1	"Protein tyrosine phosphatase, receptor type Z1"
ENSG00000163661	PTX3	"Pentraxin 3"
ENSG00000251692	PTX4	"Pentraxin 4"
ENSG00000073008	PVR	"Poliovirus receptor"
ENSG00000130508	PXDN	Peroxidasin
ENSG00000131096	PYY	"Peptide YY"
ENSG00000126838	PZP	"PZP, alpha-2-macroglobulin like"
ENSG00000115828	QPCT	"Glutaminyl-peptide cyclotransferase"
ENSG00000188710	QRFP	"Pyroglutamylated RFamide peptide"
ENSG00000116260	QSOX1	"Quiescin sulfhydryl oxidase 1"
ENSG00000101074	R3HDML	"R3H domain containing like"
ENSG00000203722	RAET1G	"Retinoic acid early transcript 1G"
ENSG00000106538	RARRES2	"Retinoic acid receptor responder 2"
ENSG00000265203	RBP3	"Retinol binding protein 3"
ENSG00000138207	RBP4	"Retinol binding protein 4"
ENSG00000115386	REG1A	"Regenerating family member 1 alpha"
ENSG00000172023	REG1B	"Regenerating family member 1 beta"
ENSG00000172016	REG3A	"Regenerating family member 3 alpha"
ENSG00000143954	REG3G	"Regenerating family member 3 gamma"
ENSG00000134193	REG4	"Regenerating family member 4"
ENSG00000189056	RELN	Reelin
ENSG00000143839	REN	Renin
ENSG00000104918	RETN	Resistin
ENSG00000163515	RETNLB	"Resistin like beta"
ENSG00000182175	RGMA	"Repulsive guidance molecule BMP co-receptor a"
ENSG00000107018	RLN1	"Relaxin 1"
ENSG00000107014	RLN2	"Relaxin 2"
ENSG00000171136	RLN3	"Relaxin 3"
ENSG00000129538	RNASE1	"Ribonuclease A family member 1, pancreatic"
ENSG00000182545	RNASE10	"Ribonuclease A family member 10 (inactive)"
ENSG00000173464	RNASE11	"Ribonuclease A family member 11 (inactive)"
ENSG00000258436	RNASE12	"Ribonuclease A family member 12 (inactive)"
ENSG00000206150	RNASE13	"Ribonuclease A family member 13 (inactive)"
ENSG00000169385	RNASE2	"Ribonuclease A family member 2"
ENSG00000169397	RNASE3	"Ribonuclease A family member 3"
ENSG00000258818	RNASE4	"Ribonuclease A family member 4"
ENSG00000169413	RNASE6	"Ribonuclease A family member k6"
ENSG00000165799	RNASE7	"Ribonuclease A family member 7"
ENSG00000173431	RNASE8	"Ribonuclease A family member 8"
ENSG00000188655	RNASE9	"Ribonuclease A family member 9 (inactive)"
ENSG00000026297	RNASET2	"Ribonuclease T2"
ENSG00000184719	RNLS	"Renalase, FAD dependent amine oxidase"
ENSG00000176393	RNPEP	"Arginyl aminopeptidase"
ENSG00000215853	RPTN	Repetin
ENSG00000102104	RS1	"Retinoschisin 1"
ENSG00000169218	RSPO1	"R-spondin 1"
ENSG00000147655	RSPO2	"R-spondin 2"
ENSG00000146374	RSPO3	"R-spondin 3"
ENSG00000101282	RSPO4	"R-spondin 4"
ENSG00000159579	RSPRY1	"Ring finger and SPRY domain containing 1"
ENSG00000132026	RTBDN	Retbindin
ENSG00000163221	S100A12	"S100 calcium binding protein A12"
ENSG00000189171	S100A13	"S100 calcium binding protein A13"
ENSG00000143556	S100A7	"S100 calcium binding protein A7"
ENSG00000143546	S100A8	"S100 calcium binding protein A8"
ENSG00000163220	S100A9	"S100 calcium binding protein A9"
ENSG00000173432	SAA1	"Serum amyloid A1"
ENSG00000134339	SAA2	"Serum amyloid A2"
ENSG00000148965	SAA4	"Serum amyloid A4, constitutive"
ENSG00000189001	SBSN	Suprabasin
ENSG00000164764	SBSPON	"Somatomedin B and thrombospondin type 1 domain containing"
ENSG00000171951	SCG2	"Secretogranin II"
